from;to;amount
9176615777587;8388277640824;6685687
6801187722073;9579795455290;6378929
4513009530524;7662408161083;8421779
2047098423548;8353624816684;843671
7094143476929;4258137110542;3234444
4266365516386;3430031257243;7780140
1469706897956;6458267790693;878133
6049364696942;9375047947743;881507
4725041760270;8249985961360;4681681
1981208526682;9353562421672;3044169
5964383911069;6213383194602;7676896
5268849547328;2334577721072;1265043
3172806260719;2379665262600;1072322
6912884261640;1163646634231;4880659
4532161473130;3709103346670;9853989
1363460490463;1289179675101;6123760
4598938647537;8887143008804;1253315
8488458365054;9294364582177;1283898
3841919121844;7959947990976;4547549
6174694802475;1558614990909;178912
8902441058987;2106817821359;2658503
3292079678052;4547221537381;4381192
9005764091054;6758191192073;3078230
5276645568039;8551755062716;1364795
8385607521929;4430224074383;1043930
7695164673114;5358725767960;7156473
2741649497039;6527995344077;2368588
9463263494091;1895292222912;6374974
1592333316568;4306496305899;1341855
9357799307179;4834836450723;6756622
2740371638673;3202247710167;5132158
7718627822509;9660449279287;9653908
7657785369422;1125156473460;9246042
5905496780943;7535728911769;6325025
3869192550926;8313527958451;9067433
9111836770445;3599657357600;9378564
5376842373269;5119354815895;5711418
9424817479472;4243817590369;9529509
1992545761132;2467781777640;7461412
7908951269705;3046055830720;211161
7865717990837;6994944670196;8309421
8400719651362;2878817892468;6220477
5098395924009;8728677118307;9935896
3246110276832;5954960908529;2121468
1192072718427;6499483008882;1487472
2104868030913;3780882616352;1652753
9307149508061;3150731424079;9948191
3195956698372;2449591186408;237227
8938774141848;1152233481544;7862962
3045226179417;6907354380416;1756104
8416634443382;5557582198023;7577613
9739986359585;5024595933035;7003907
7916899942710;6860799235977;2498195
4479422670650;7145575948963;6079264
5910179222418;1405532952225;6569807
7174988081727;1790871933859;9744735
6534060719161;9581330306961;1276030
8231405124790;9603667247416;4850632
7947697366291;6149951999212;2796273
4295029973059;6655439564247;4971781
2852102788569;9163657875162;4864195
6592552829879;6390961684658;6390925
1516061525517;5567336508899;9457829
6044656858249;3777208783008;1929239
7250003783017;3744315004953;5765486
2787902523612;5000187317324;4233311
4657695667116;6643820142270;9662111
2293650275092;8044013139831;4409481
3422425254797;4959059883570;67987
2363076459185;7138572793908;5384400
4588324939947;8349249745335;9916209
5567197571969;3617733229181;7678547
8551576387806;7212570754016;7813005
9624134062708;8727759492856;9524236
9610810252121;1219589237596;9327622
7582408421756;4191721503175;8078241
9304060605233;6232039976625;284942
4073750129274;4391328418110;6736339
2226250099980;6503985242468;7264457
2884836625340;1883495598852;6249866
1614284435688;6476789802210;597896
6466849509248;6750785106009;240015
4130995140641;3910821257578;3525148
9213795056564;8676206912842;3536214
3632941974347;1452299953782;8678475
3333328257296;1662745736896;3649179
7392964697337;4966994208992;8648952
2762238813847;6988083413770;7040846
4102233585355;7795868109791;6601580
2829778706501;8561697920348;1459367
1971534636539;1330059999800;1660150
3386308122838;4111471024383;1933112
5328252871469;8293790540563;3893884
6725095807593;5491079772401;4523893
5263513341030;5975073426655;2412972
2843799310657;3402404515527;2984026
2274950690625;5223403163274;9949485
5531181243333;4424413930956;5864219
5040364348448;6900185270318;9777320
5642347890038;4349021334706;970126
