from;to;amount
3777906838677;5158449153323;4843346
5776147945730;7458341199969;1307318
4246466174457;3536300285418;4694603
5723127294741;2104946603005;2126771
2014466391885;6063105888723;6685842
8144880108938;2324610286967;6277467
3565304188618;8849762789649;7391031
2344822335140;2897066013250;5184114
9248001245253;7348041855030;7365886
9661312096408;5486477598467;8396044
6043055216781;8746390784215;670707
2165303863171;1192347869830;6043735
4742737250199;7312472983112;3731605
4642553079982;9994590285151;2774117
4938761479868;7110261612111;9439362
4251526117659;5041180115439;2632160
2127070739168;7027900819186;9616935
3026231234959;3745314425633;6760452
9679237934340;8808948482121;8509384
8928122651139;7593123511771;8148159
8528397161077;2409116940526;5324294
1275909887410;1759928484475;3260216
1861873545589;6394359874884;9088187
1833862733981;5848011753887;7623308
3963286408595;1473454525182;8696542
4892834503577;9074219824388;2642871
4235518668860;3990386560395;2459805
6319302187477;9855479704758;7635631
8635432474009;7642856104190;2110683
6264879238275;3202372137684;2910659
1748626402033;8537319045082;1800360
8491709303476;3957738060810;4647648
3681417690395;7437538263743;5999638
9839600506143;8874066310986;1917786
5007714461361;1203513435168;635324
3554305586305;5867724228236;2956366
8521525705919;4495311010025;6820303
3424622037032;8330215701074;314086
8559423154230;2685490426117;28632
3158137635993;9945985422080;3122608
4421735684950;1200190605298;9057493
9400471620969;1055261052541;6269969
2474546052476;7214429620394;5081732
4382658203676;9787402865677;2961564
8434640696357;8348507355509;1467808
5910750803098;6201167246437;6466841
4303861830218;3630738172530;9356541
2785194197783;9377224540010;404599
5707626991715;5121425486501;271215
7299389693917;4328348788903;6771096
2129630380651;1712349222438;1513553
3409484644472;7483416161163;3085148
3312390022935;8979721946639;9410261
7937693306063;2905251398470;9290890
6368892236767;8072803571031;5103955
9904328516122;6388439787551;1418159
3806356613385;2214666553618;4569471
4707470800292;8307723330714;3424805
4232712849786;6669067273892;9639269
6770378895411;4459553087466;9964351
1933937165403;2519201906541;4480602
3594165035885;1176968120972;8142422
6566741662397;2942934783390;1214662
2406612635992;6550662757228;1529679
6875680515298;5805024324955;1343412
9286163604532;7030271465451;7816818
5692103996051;8708668265240;7622135
7170061047499;6805169115559;7999691
6832788369685;1246456846214;3792274
1317577231708;5570849922996;6584599
1961387604544;4748996334515;8780633
6812064964792;8207412696152;6076172
6606218946067;3905534390974;4823882
5043725513758;3456121650885;3898786
7046402453150;3882423687866;319658
8877358976674;6866958114243;4968537
5172913928733;7084153030503;6259790
3195102906448;3299157243451;6064116
5933633092075;8075434423723;241296
3916928713321;4131751594953;8045823
6522836846113;8030119813897;8702753
5459475475883;3695706882813;4391855
7297594554230;4309962455528;5175770
3896659706796;4258989676802;2536645
5061686746071;8460946218271;8039694
1727782067006;1141059834069;7504766
1155721278835;9314547710383;8337343
7379657261708;4042629470674;2313948
1034533362691;5435612256315;5724515
1285578971135;4343394749787;7882821
3656222555890;7887941993362;7996471
2249838778501;2562951906455;5021098
6662680803511;1838134754775;3304813
2756188635047;1845364142483;3236900
4030887724791;1687062957531;8082114
5121705164586;3822354350474;6882922
7147362681181;5306911412482;5311799
1263299559341;4177664362845;3386207
6178573800034;1315812732048;2052549
3624466917280;4226109663691;1473481
